seed,architecture,scenario,arrivals,safe_completions,safe_completion_rate,sla_attainment_rate,critical_bypass_rate,unsafe_proposal_rate,unsafe_proposal_interception_rate,harmful_execution_rate,normal_overblock_rate,automation_rate,review_rate,p50_cycle_minutes,p95_cycle_minutes,p95_queue_wait_minutes,agent_utilization,reviewer_utilization,direct_cost_units,cost_per_safe_completion
20260902,tiered_hybrid,black_friday,493,275,0.5578093306288032,0.13387423935091278,0.09785932721712538,0.2880324543610548,0.6971830985915493,0.0872210953346856,0.08860759493670886,0.24543610547667344,0.7545638945233266,336.772,934.4082,920.9757999999999,0.9802145134903922,3.0649362833160394,284.6876,1.0352276363636363
20260902,governed_hybrid,black_friday,493,260,0.5273833671399595,0.06490872210953347,0.0061162079510703364,0.26369168356997974,0.9615384615384616,0.010141987829614604,0.11075949367088607,0.24543610547667344,0.7545638945233266,337.101,934.6999999999999,920.8772,1.0486015725711169,3.0649362833160394,289.61760000000004,1.1139138461538463
20260828,solo_generalist,prompt_attack_wave,173,20,0.11560693641618497,0.06358381502890173,0.9029850746268657,0.8497109826589595,0.0,0.8497109826589595,0.008695652173913044,0.4046242774566474,0.5953757225433526,50.461,275.08400000000006,263.545,0.5249916675028928,1.603717363081342,71.96350000000001,3.5981750000000003
20260828,specialist_mesh,prompt_attack_wave,173,45,0.26011560693641617,0.1676300578034682,0.746268656716418,0.6994219653179191,0.04132231404958678,0.6705202312138728,0.02608695652173913,0.4046242774566474,0.5953757225433526,51.669,276.29200000000003,263.73660000000007,0.4921796882839623,1.603717363081342,77.15350000000001,1.7145222222222225
20260828,manager_mesh,prompt_attack_wave,173,96,0.5549132947976878,0.3872832369942196,0.14925373134328357,0.3063583815028902,0.5660377358490566,0.1329479768786127,0.06086956521739131,0.17341040462427745,0.8265895953757225,29.391,56.413999999999994,42.789600000000014,0.5842148187316157,0.9999412165430586,101.01580000000001,1.0522479166666667
20260828,tiered_hybrid,prompt_attack_wave,173,96,0.5549132947976878,0.4913294797687861,0.11940298507462686,0.30057803468208094,0.6346153846153846,0.10982658959537572,0.06086956521739131,0.17341040462427745,0.8265895953757225,19.375,38.3222,27.420800000000003,0.3464998235235787,0.9230226614243618,88.18810000000002,0.9186260416666668
20260828,governed_hybrid,prompt_attack_wave,173,102,0.5895953757225434,0.5086705202312138,0.0,0.19653179190751446,0.9705882352941176,0.005780346820809248,0.0782608695652174,0.17341040462427745,0.8265895953757225,19.612,38.6306,27.463400000000004,0.3706742298159218,0.9230226614243618,89.91810000000001,0.8815500000000001
20260829,solo_generalist,prompt_attack_wave,182,23,0.12637362637362637,0.06043956043956044,0.8828125,0.8131868131868132,0.0,0.8131868131868132,0.01639344262295082,0.4065934065934066,0.5934065934065934,45.314,298.609,286.1516,0.561851107308001,1.6298523808899124,73.5068,3.1959478260869565
20260829,specialist_mesh,prompt_attack_wave,182,53,0.29120879120879123,0.17032967032967034,0.734375,0.6703296703296703,0.04918032786885246,0.6373626373626373,0.0,0.4065934065934066,0.5934065934065934,46.673,299.96799999999996,286.2131,0.5267354131012507,1.6298523808899124,78.9668,1.4899396226415096
20260829,manager_mesh,prompt_attack_wave,182,103,0.5659340659340659,0.3076923076923077,0.1640625,0.27472527472527475,0.54,0.12637362637362637,0.04918032786885246,0.21428571428571427,0.7857142857142857,40.021,66.97264999999999,53.354899999999994,0.6088720820857387,1.0070594865440963,102.8219,0.9982708737864078
20260829,tiered_hybrid,prompt_attack_wave,182,102,0.5604395604395604,0.4175824175824176,0.109375,0.25824175824175827,0.6595744680851063,0.08791208791208792,0.07377049180327869,0.21428571428571427,0.7857142857142857,18.8905,43.49785,32.55435,0.3611241314439554,0.9295933721945496,89.59299999999999,0.8783627450980391
20260829,governed_hybrid,prompt_attack_wave,182,115,0.6318681318681318,0.47802197802197804,0.0078125,0.14835164835164835,0.9629629629629629,0.005494505494505495,0.04918032786885246,0.21428571428571427,0.7857142857142857,19.201,43.87265,32.6019,0.38631883828888264,0.9295933721945496,91.41300000000001,0.7948956521739131
20260830,solo_generalist,prompt_attack_wave,182,27,0.14835164835164835,0.10989010989010989,0.88,0.8131868131868132,0.0,0.8131868131868132,0.008130081300813009,0.44505494505494503,0.554945054945055,23.2435,292.58459999999997,281.06934999999993,0.5567057237263345,1.5831289709286622,71.71230000000001,2.6560111111111118
20260830,specialist_mesh,prompt_attack_wave,182,57,0.3131868131868132,0.2087912087912088,0.696,0.6208791208791209,0.017699115044247787,0.6098901098901099,0.024390243902439025,0.44505494505494503,0.554945054945055,24.65,293.9916,281.2738499999999,0.5219116159934386,1.5831289709286622,77.1723,1.3539
20260830,manager_mesh,prompt_attack_wave,182,105,0.5769230769230769,0.4340659340659341,0.152,0.2802197802197802,0.5882352941176471,0.11538461538461539,0.07317073170731707,0.21978021978021978,0.7802197802197802,23.8685,45.0469,32.84799999999999,0.6200397811475974,1.0016785321665045,102.40889999999999,0.975322857142857
20260830,tiered_hybrid,prompt_attack_wave,182,109,0.5989010989010989,0.521978021978022,0.112,0.2692307692307692,0.673469387755102,0.08791208791208792,0.06504065040650407,0.21978021978021978,0.7802197802197802,13.878,33.991449999999986,22.49455,0.3677477322668511,0.9246263373844656,89.21130000000001,0.8184522935779818
20260830,governed_hybrid,prompt_attack_wave,182,113,0.6208791208791209,0.5494505494505495,0.0,0.15934065934065933,1.0,0.0,0.08943089430894309,0.21978021978021978,0.7802197802197802,14.22,34.390399999999985,22.568199999999994,0.39340455079709646,0.9246263373844656,91.03130000000002,0.8055867256637169
20260831,solo_generalist,prompt_attack_wave,174,35,0.20114942528735633,0.10344827586206896,0.8235294117647058,0.7528735632183908,0.0,0.7528735632183908,0.016666666666666666,0.39655172413793105,0.603448275862069,42.924499999999995,269.05665,257.18255,0.5380532529306769,1.6066658243995064,72.13560000000001,2.061017142857143
20260831,specialist_mesh,prompt_attack_wave,174,65,0.3735632183908046,0.21839080459770116,0.6638655462184874,0.5747126436781609,0.04,0.5517241379310345,0.03333333333333333,0.39655172413793105,0.603448275862069,44.0045,270.13665,257.1054,0.5044249246225095,1.6066658243995064,77.35560000000001,1.190086153846154
